744, 1, Tue Aug 12 13_56_58 2014
258988, 251500, _
258872, 32, Tue Aug 12 13_47_05 2014
304569, 295572, _
304273, 43, Tue Aug 12 13_37_51 2014
220938, 212714, _
223587, 41361, Tue Aug 12 14_00_13 2014
265435, 257644, _
264959, 36, Tue Aug 12 13_51_56 2014
239490, 232230, _
239198, 29, Tue Aug 12 13_34_38 2014
951, 1, _
601, 41306, Tue Aug 12 13_59_54 2014
243604, 236425, _
243013, 33, Tue Aug 12 13_49_52 2014
11784, 10110, _
11811, 4, Tue Aug 12 13_45_27 2014
84217, 80820, _
84300, 11, Tue Aug 12 13_43_04 2014
252923, 245509, _
252499, 41322, Tue Aug 12 13_51_48 2014
11537, 9940, _
11564, 41269, Tue Aug 12 13_45_48 2014
217943, 209837, _
220326, 44, Tue Aug 12 14_00_14 2014
317969, 308685, _
317321, 44, Tue Aug 12 13_38_13 2014
22186, 20276, _
22143, 41281, Tue Aug 12 13_43_25 2014
251712, 244205, _
251605, 32, Tue Aug 12 13_35_21 2014
294449, 286224, _
293973, 35, Tue Aug 12 13_54_51 2014
256765, 249244, _
256321, 33, Tue Aug 12 13_48_32 2014
1136, 1, _
780, 2, Tue Aug 12 13_57_39 2014
255283, 247662, _
255111, 31, Tue Aug 12 13_35_40 2014
301538, 293078, _
300809, 41342, Tue Aug 12 13_58_26 2014
286941, 278941, _
286492, 34, Tue Aug 12 13_55_12 2014
265065, 257200, _
264451, 32, Tue Aug 12 13_55_50 2014
81126, 77876, _
81233, 41291, Tue Aug 12 13_43_05 2014
11537, 9940, _
11941, 3, Tue Aug 12 13_45_46 2014
319714, 310634, _
319435, 43, Tue Aug 12 13_39_17 2014
240400, 233461, _
240127, 34, Tue Aug 12 13_50_39 2014
262636, 254961, _
262122, 41317, Tue Aug 12 13_50_38 2014
254343, 246808, _
254252, 31, Tue Aug 12 13_35_08 2014
257052, 249502, _
256961, 23, Tue Aug 12 13_35_11 2014
216817, 201842, _
223320, 38, Tue Aug 12 14_01_28 2014
903, 1, _
542, 1, Tue Aug 12 13_59_43 2014
260780, 253112, _
260191, 34, Tue Aug 12 13_48_52 2014
246418, 239201, _
246272, 41314, Tue Aug 12 13_49_25 2014
213799, 199168, _
220005, 41335, Tue Aug 12 14_01_43 2014
22656, 20776, _
22855, 41276, Tue Aug 12 13_41_54 2014
267780, 260073, _
267326, 32, Tue Aug 12 13_54_44 2014
217943, 209837, _
220326, 44, Tue Aug 12 14_00_18 2014
234957, 228025, _
234683, 15, Tue Aug 12 13_54_07 2014
309111, 300180, _
308626, 38, Tue Aug 12 13_56_04 2014
23721, 21834, _
23763, 4, Tue Aug 12 13_44_06 2014
956, 0, _
594, 2, Tue Aug 12 13_59_58 2014
1064, 2, _
723, 2, Tue Aug 12 13_58_27 2014
219177, 204311, _
225533, 35, Tue Aug 12 14_00_46 2014
260780, 253112, _
260191, 34, Tue Aug 12 13_48_50 2014
233115, 226050, _
232988, 21, Tue Aug 12 13_34_55 2014
251503, 244033, _
239414, 25, Tue Aug 12 13_46_37 2014
240627, 233727, _
240752, 21, Tue Aug 12 13_34_34 2014
244674, 237260, _
244593, 30, Tue Aug 12 13_36_26 2014
315072, 305956, _
314928, 41327, Tue Aug 12 13_38_56 2014
1039, 1, _
777, 2, Tue Aug 12 13_57_18 2014
216817, 201842, _
223320, 38, Tue Aug 12 14_01_30 2014
312997, 303832, _
312828, 43, Tue Aug 12 13_37_31 2014
80709, 77484, _
80842, 10, Tue Aug 12 13_43_10 2014
275032, 267438, _
274765, 21, Tue Aug 12 13_55_17 2014
258988, 251500, _
258872, 32, Tue Aug 12 13_47_08 2014
310237, 301323, _
309478, 38, Tue Aug 12 13_56_22 2014
1039, 1, _
777, 2, Tue Aug 12 13_57_20 2014
296355, 287967, _
295947, 23, Tue Aug 12 13_56_11 2014
247026, 239716, _
246687, 41316, Tue Aug 12 13_50_56 2014
317934, 308729, _
317700, 44, Tue Aug 12 13_38_23 2014
119915, 114904, _
120770, 41286, Tue Aug 12 13_33_30 2014
306442, 297844, _
305885, 28, Tue Aug 12 13_57_59 2014
242610, 235491, _
242403, 31, Tue Aug 12 13_51_41 2014
256175, 248829, _
255912, 28, Tue Aug 12 13_47_09 2014
265065, 257200, _
264451, 32, Tue Aug 12 13_55_48 2014
252251, 244669, _
252026, 31, Tue Aug 12 13_33_18 2014
253396, 245968, _
252995, 34, Tue Aug 12 13_49_00 2014
243896, 236814, _
243627, 35, Tue Aug 12 13_49_15 2014
240686, 233544, _
240348, 29, Tue Aug 12 13_54_08 2014
257745, 250140, _
257345, 32, Tue Aug 12 13_47_34 2014
235221, 228199, _
235003, 26, Tue Aug 12 13_48_24 2014
951, 1, _
601, 41306, Tue Aug 12 13_59_53 2014
